ID,airport_name,type,country,lat,long,elevation,service
BG-0068,Lozarevo Airstrip,small_airport,BG,42.757368,26.900321,1023.0,no
BG-0069,Bedzhene Airstrip,small_airport,BG,43.447841,27.276943,,no
BG-0070,Krivodol Airstrip,small_airport,BG,43.37501,23.510399,833.0,no
BG-0071,Medovnitsa Airstrip,small_airport,BG,43.647866,22.797611,965.0,no
BG-0076,Ezerets Airstrip,closed,BG,43.59181,28.50535,118.0,no
BG-0078,Belozem SSA Airstrip,small_airport,BG,42.21439,25.05879,489.0,no
BG-0081,Kalugerene Airstrip,small_airport,BG,43.906551,26.866593,,no
BG-0083,Moskovets Airstrip,small_airport,BG,42.65839,24.68383,,no
BG-0085,Kubrat Airstrip,closed,BG,43.787162,26.515642,745.0,no
BG-0092,Kyustendil Airfield,closed,BG,42.29272,22.72459,1640.0,no
BG-0093,Lozenets University Hospital Heliport,heliport,BG,42.663,23.31149,2021.0,no
BG-0095,Bendida Beach Heliport,heliport,BG,43.4175,28.29096,240.0,no
BG-0096,Kyustendil Heliport,heliport,BG,42.28959,22.67311,1798.0,no
BG-0097,Avis Medica Hospital Emergency Helipad,heliport,BG,43.38605,24.63095,532.0,no
BG-0099,Dzhurovo Airport,closed,BG,42.96505,24.03685,1119.0,no
BG-0101,Devene Airfield,closed,BG,43.3903,23.61661,715.0,no
BG-0102,Asenovgrad Airfield,small_airport,BG,42.0099,24.9264,922.0,no
BG-0103,Lovets Cropduster Strip,closed,BG,42.2796,25.59664,640.0,no
BG-0104,Chirpan Airfield,closed,BG,42.203822,25.297211,607.0,no
BG-0105,Gita Airfield,closed,BG,42.19406,25.43875,591.0,no
BG-0107,Elhovo Cropduster Strip,closed,BG,42.19009,26.54748,341.0,no
BG-0108,Mezhda Highway Strip,closed,BG,42.31443,26.24916,,no
BG-0109,Mlekarevo Airport,closed,BG,42.37034,26.08092,561.0,no
BG-0111,Lyubenova Mahala Cropduster Airstrip (disused),closed,BG,42.33466,25.98662,459.0,no
BG-0113,Madrets Airport,closed,BG,42.13675,26.07009,469.0,no
BG-0116,Getsovo Cropduster Strip,closed,BG,43.54914,26.45848,604.0,no
BG-0117,Ekzarh Yosif Airstrip,small_airport,BG,43.62617,25.78988,620.0,no
BG-0118,Batishnitsa Cropduster Strip,closed,BG,43.5426,25.87698,915.0,no
BG-0121,Archar Airport,closed,BG,43.80974,22.88929,177.0,no
